term,pos,term_1,pos_1,tf,Entity,Named entity,entity,parent_class,class,is_amenity,type,selected,,,,
bed,NOUN,number,NOUN,18,,,bed number,,,,,no,,,,
number,NOUN,bathroom,NOUN,18,,,number bathroom,,,,,no,,,,
consumption,NOUN,water,NOUN,18,,,consumption water,,,,,no,,,,
check,NOUN,request,NOUN,18,,,check request,,,,,no,,,,
request,NOUN,arrival,NOUN,18,,,request arrival,,,,,no,,,,
apartment,NOUN,village,NOUN,18,,,apartment village,,,,,no,,,,
bedroom,NOUN,bed,NOUN,18,,,bedroom bed,,,,,no,,,,
sardinia,NOUN,villa,NOUN,17,,,sardinia villa,,,,,no,,,,
holiday,NOUN,sardinia,NOUN,17,,,holiday sardinia,,,,,no,,,,
center,NOUN,town,NOUN,17,X,,center town,,,,,no,,,,
terrace,NOUN,view,NOUN,17,X,,terrace view,,,,,no,,,,
view,NOUN,beach,NOUN,17,,,view beach,,,,,no,,,,
air,NOUN,condition,NOUN,17,X,,air condition,,,,,no,,,,
bed,NOUN,bunk,NOUN,17,,,bed bunk,,,,,no,,,,
garden,NOUN,veranda,NOUN,17,,,garden veranda,,,,,no,,,,
cervo,NOUN,marina,NOUN,17,,,cervo marina,,,,,no,,,,
olive,NOUN,grove,NOUN,17,X,,olive grove,,,,,no,,,,
water,NOUN,beach,NOUN,17,,,water beach,,,,,no,,,,
km,NOUN,center,NOUN,17,,,km center,,,,,no,,,,
studio,NOUN,apartment,NOUN,17,,,studio apartment,,,,,no,,,,
traveler,NOUN,family,NOUN,17,,,traveler family,,,,,no,,,,
view,NOUN,island,NOUN,17,,,view island,,,,,no,,,,
parking,NOUN,house,NOUN,17,,,parking house,,,,,no,,,,
seaside,NOUN,resort,NOUN,17,X,,seaside resort,,,,,no,,,,
apartment,NOUN,number,NOUN,17,,,apartment number,,,,,no,,,,
glass,NOUN,wine,NOUN,17,,,glass wine,,,,,no,,,,
check,NOUN,charge,NOUN,17,,,check charge,,,,,no,,,,
shower,NOUN,washing,NOUN,17,,,shower washing,,,,,no,,,,
maddalena,PROPN,archipelago,NOUN,17,,X,maddalena archipelago,,,,,no,,,,
beach,NOUN,umbrella,NOUN,16,,,beach umbrella,,,,,no,,,,
km,NOUN,airport,NOUN,16,,,km airport,,,,,no,,,,
bed,NOUN,bath,NOUN,16,,,bed bath,,,,,no,,,,
area,NOUN,sofa,NOUN,16,,,area sofa,,,,,no,,,,
veranda,NOUN,garden,NOUN,16,,,veranda garden,,,,,no,,,,
bathroom,NOUN,apartment,NOUN,16,,,bathroom apartment,,,,,no,,,,
center,NOUN,cagliari,PROPN,16,,X,center cagliari,,,,,no,,,,
bathroom,NOUN,washing,NOUN,16,,,bathroom washing,,,,,no,,,,
air,NOUN,conditioner,NOUN,16,X,,air conditioner,,,,,no,,,,
house,NOUN,meter,NOUN,16,X,,house meter,,,,,no,,,,
pool,NOUN,sea,NOUN,16,,,pool sea,,,,,no,,,,
heart,NOUN,cagliari,NOUN,16,,,heart cagliari,,,,,no,,,,
post,NOUN,office,NOUN,16,X,,post office,,,,,no,,,,
